County,Public Level 2,Public DC Fast,Public Ports,EV_2022,EV_2023,EV_2024,EV_2025,Population_2022,Population_2025,EV_Growth,EV_Growth_Rate,Ports_per_1000_EVs,EVs_per_1000_residents_2022,EVs_per_1000_residents_2025,EV_per_capita_growth_rate
Alameda,2791,1038,3829,71884,96382,117300,137273,1651884,1661903,65389,0.9096460964887875,27.89332206624755,43.51637282036753,82.59988699701488,0.8981335447690297
Alpine,20,0,20,29,32,40,45,1177,1156,16,0.5517241379310345,444.4444444444444,24.638912489379777,38.92733564013841,0.5799128982221693
Amador,49,8,57,413,536,683,833,40162,39829,420,1.0169491525423728,68.42737094837935,10.283352422688113,20.91440909889779,1.0338123443824045
Butte,200,66,266,1730,2369,2966,3652,206573,207410,1922,1.1109826589595375,72.8368017524644,8.374763400831666,17.60763704739405,1.1024638195325616
Calaveras,23,33,56,515,702,893,1081,44767,44269,566,1.0990291262135923,51.80388529139685,11.504009649965376,24.41889358241659,1.1226419592311525
Colusa,19,39,58,104,129,156,209,21965,22086,105,1.0096153846153846,277.511961722488,4.734805372183018,9.463008240514354,0.9986055384894017
Contra Costa,1080,580,1660,43815,58184,71834,84394,1156527,1161921,40579,0.9261440146068698,19.669644761475933,37.884978042017174,72.6331652496168,0.9172022528048287
Del Norte,27,38,65,128,181,227,261,26449,26435,133,1.0390625,249.04214559386972,4.839502438655526,9.873274068469831,1.0401423893512387
El Dorado,234,126,360,4861,6264,7717,9192,189729,189384,4331,0.8909689364328327,39.1644908616188,25.620753812016087,48.53630718540109,0.8944137062289577
Fresno,842,466,1308,10376,14169,17937,22323,1015296,1039305,11947,1.1514070932922127,58.5942749630426,10.219679778113967,21.47877668249455,1.101707406575751
Glenn,7,18,25,130,181,215,274,28604,28922,144,1.1076923076923078,91.24087591240875,4.544818906446651,9.473757001590483,1.0845180405653396
Humboldt,250,80,330,2127,2513,2930,3382,134735,132806,1255,0.5900329102021626,97.57539917208751,15.786543956655658,25.465716910380554,0.6131280526187699
Imperial,83,138,221,769,1196,1825,2341,180951,185620,1572,2.0442132639791937,94.40410081161897,4.24976927455499,12.61178752289624,1.9676405254299056
Inyo,57,101,158,175,238,302,345,18848,18549,170,0.9714285714285714,457.9710144927536,9.284804753820033,18.599385411612488,1.0032069499318412
Kern,736,691,1427,6885,9627,12743,16150,912859,924700,9265,1.345679012345679,88.35913312693498,7.542238176980235,17.4651238239429,1.315642043398793
Kings,135,139,274,876,1169,1539,2004,151826,153967,1128,1.2876712328767124,136.72654690618762,5.76976275473239,13.01577610786727,1.2558598440103381
Lake,82,16,98,601,759,967,1227,66995,66649,626,1.0415973377703827,79.86960065199673,8.970818717814762,18.409878617833726,1.0521960366086032
