Rank,County,Public_Level_2_2022,Public_DC_Fast_2022,Public_Ports_2022,Public_Level_2_2025,Public_DC_Fast_2025,Public_Ports_2025,Charging_Growth,Charging_Growth_Rate
1,Lake,14,0,14,82,16,98,84,6.0
2,Plumas,7,0,7,27,16,43,36,5.142857142857143
3,Imperial,12,24,36,83,138,221,185,5.138888888888889
4,Sierra,1,0,1,4,0,4,3,3.0
5,Merced,33,56,89,156,195,351,262,2.943820224719101
6,Inyo,8,34,42,57,101,158,116,2.761904761904762
7,Stanislaus,78,59,137,261,214,475,338,2.4671532846715327
8,Alpine,6,0,6,20,0,20,14,2.3333333333333335
9,Kern,181,252,433,736,691,1427,994,2.295612009237875
10,Butte,59,26,85,200,66,266,181,2.1294117647058823
11,Tehama,8,32,40,83,42,125,85,2.125
12,Los Angeles,7269,1556,8825,22860,3889,26749,17924,2.0310481586402265
13,Shasta,71,30,101,160,144,304,203,2.00990099009901
14,Mariposa,28,18,46,105,32,137,91,1.9782608695652173
15,San Bernardino,679,467,1146,1802,1514,3316,2170,1.8935427574171029
16,San Joaquin,198,141,339,660,317,977,638,1.8820058997050146
17,Mono,19,12,31,30,57,87,56,1.8064516129032258
18,San Diego,2266,561,2827,6206,1551,7757,4930,1.7438981252210823
19,Santa Barbara,286,97,383,761,262,1023,640,1.671018276762402
20,Yuba,20,4,24,52,12,64,40,1.6666666666666667
21,Tulare,80,61,141,249,124,373,232,1.6453900709219857
22,Ventura,387,149,536,1024,342,1366,830,1.5485074626865671
23,San Francisco,656,121,777,1650,282,1932,1155,1.4864864864864864
24,Sacramento,988,303,1291,2422,775,3197,1906,1.4763749031758326
25,Calaveras,11,12,23,23,33,56,33,1.434782608695652
26,Yolo,205,57,262,425,205,630,368,1.4045801526717556
27,Solano,223,105,328,397,385,782,454,1.3841463414634145
28,San Benito,10,25,35,29,53,82,47,1.3428571428571427
29,Santa Clara,3632,659,4291,8587,1304,9891,5600,1.3050570962479608
30,Humboldt,111,33,144,250,80,330,186,1.2916666666666667
31,Placer,207,137,344,460,310,770,426,1.2383720930232558
32,Siskiyou,24,42,66,38,109,147,81,1.2272727272727273
33,Napa,330,42,372,740,78,818,446,1.1989247311827957
34,Sonoma,444,125,569,1013,229,1242,673,1.1827768014059754
35,Riverside,990,454,1444,2287,829,3116,1672,1.1578947368421053
36,Sutter,0,16,16,18,16,34,18,1.125
37,Orange,2666,700,3366,5600,1475,7075,3709,1.101901366607249
38,Monterey,216,145,361,492,259,751,390,1.080332409972299
39,Alameda,1473,385,1858,2791,1038,3829,1971,1.0608180839612487
40,San Luis Obispo,360,129,489,676,319,995,506,1.034764826175869
41,Mendocino,127,39,166,265,63,328,162,0.9759036144578314
42,El Dorado,138,45,183,234,126,360,177,0.9672131147540983
43,Contra Costa,633,254,887,1080,580,1660,773,0.8714768883878241
44,San Mateo,2013,301,2314,3620,666,4286,1972,0.8522039757994814
45,Tuolumne,32,14,46,59,25,84,38,0.8260869565217391
46,Colusa,14,18,32,19,39,58,26,0.8125
47,Del Norte,14,22,36,27,38,65,29,0.8055555555555556
48,Glenn,4,10,14,7,18,25,11,0.7857142857142857
49,Madera,53,86,139,137,103,240,101,0.7266187050359713
50,Kings,49,114,163,135,139,274,111,0.6809815950920245
51,Amador,26,8,34,49,8,57,23,0.6764705882352942
52,Fresno,487,312,799,842,466,1308,509,0.6370463078848561
53,Santa Cruz,188,79,267,294,135,429,162,0.6067415730337079
54,Marin,459,83,542,715,150,865,323,0.5959409594095941
55,Trinity,4,10,14,10,12,22,8,0.5714285714285714
56,Lassen,7,8,15,11,8,19,4,0.26666666666666666
57,Modoc,4,8,12,6,8,14,2,0.16666666666666666
58,Nevada,72,53,125,58,69,127,2,0.016
