County,EV_2025,Public Level 2,Public DC Fast,Population_2025,CES_Total_Pop,High_Burden_Pop,Unscored_Pop,Unscored_Tracts,Tract_Count,High_Burden_Share_Pct,Unscored_Pop_Share_Pct,Public_Ports_2025,EVs_Per_Public_Port,Public_Ports_Per_10000_Residents,EVs_Per_1000_Residents,Highlight,Draw_Order
Alameda,137273,2791,1038,1661903,1649473,168310,33,2,378,10.203865113281637,0.00200063899196895,3829,35.850874902063204,23.03985250643389,82.59988699701488,False,0
Alpine,45,20,0,1156,1616,0,0,0,1,0.0,0.0,20,2.25,173.01038062283737,38.92733564013841,False,0
Amador,833,49,8,39829,41428,0,0,0,10,0.0,0.0,57,14.614035087719298,14.311180295764393,20.91440909889779,False,0
Butte,3652,200,66,207410,207929,23667,0,0,54,11.38225067210442,0.0,266,13.729323308270677,12.82483968950388,17.60763704739405,False,0
Calaveras,1081,23,33,44269,46248,0,0,0,14,0.0,0.0,56,19.303571428571427,12.649935620863358,24.41889358241659,False,0
Colusa,209,19,39,22086,21984,0,0,0,6,0.0,0.0,58,3.603448275862069,26.260979806212077,9.463008240514354,False,0
Contra Costa,84394,1080,580,1161921,1165012,152224,475,1,241,13.066303179709738,0.04077211221858659,1660,50.83975903614458,14.286685583615409,72.6331652496168,False,0
Del Norte,261,27,38,26435,27107,0,0,0,8,0.0,0.0,65,4.015384615384615,24.588613580480423,9.873274068469831,False,0
El Dorado,9192,234,126,189384,192662,0,38,1,54,0.0,0.019723661126740094,360,25.533333333333335,19.008997592193637,48.53630718540109,False,0
Fresno,22323,842,466,1039305,1016725,520371,0,0,225,51.18109616661339,0.0,1308,17.06651376146789,12.585333468038737,21.47877668249455,False,0
Glenn,274,7,18,28922,28494,1313,0,0,8,4.607987646522075,0.0,25,10.96,8.64393887006431,9.473757001590483,False,0
Humboldt,3382,250,80,132806,134541,0,0,0,35,0.0,0.0,330,10.248484848484848,24.84827492733762,25.465716910380554,False,0
Imperial,2341,83,138,185620,180202,132495,0,0,40,73.5258210230741,0.0,221,10.592760180995475,11.906044607262148,12.61178752289624,True,1
Inyo,345,57,101,18549,18739,0,0,0,6,0.0,0.0,158,2.1835443037974684,85.17979405897891,18.599385411612488,False,0
Kern,16150,736,691,924700,915075,341014,13556,4,236,37.26623500805945,1.4814086277081113,1427,11.317449194113525,15.432032010381745,17.4651238239429,False,0
Kings,2004,135,139,153967,153298,74209,11202,2,31,48.40832887578442,7.307336038304479,274,7.313868613138686,17.796021225327507,13.01577610786727,False,0
Lake,1227,82,16,66649,68152,6355,0,0,21,9.324744688343703,0.0,98,12.520408163265307,14.703896532581133,18.409878617833726,False,0
Lassen,118,11,8,27388,30356,0,0,0,9,0.0,0.0,19,6.2105263157894735,6.937344822550022,4.308456258215277,False,0
Los Angeles,567328,22860,3889,9853435,9808667,4492569,25153,31,2495,45.80203405824665,0.2564364760267629,26749,21.209316236120976,27.146878220640822,57.57667250050363,False,0
Madera,3160,137,103,164943,160940,71850,0,0,34,44.64396669566298,0.0,240,13.166666666666666,14.550481075280551,19.158133415786057,False,0
Marin,27136,715,150,252239,257969,0,0,0,62,0.0,0.0,865,31.371098265895952,34.292873029150925,107.58050896173867,False,0
Mariposa,319,105,32,16720,17082,0,0,0,6,0.0,0.0,137,2.3284671532846715,81.9377990430622,19.07894736842105,False,0
Mendocino,2311,265,63,89205,90244,5869,0,0,23,6.503479455697886,0.0,328,7.045731707317073,36.76923939241074,25.906619584104032,False,0
Merced,4856,156,195,293803,290201,189322,0,0,63,65.23823143269665,0.0,351,13.834757834757834,11.946780665956439,16.528081741847426,True,1
Modoc,39,6,8,8452,8600,0,0,0,4,0.0,0.0,14,2.7857142857142856,16.56412683388547,4.6142924751538095,False,0
Mono,273,30,57,12569,13148,0,0,0,4,0.0,0.0,87,3.1379310344827585,69.21791709762113,21.72010502028801,False,0
Monterey,12700,492,259,438103,437613,46164,9076,3,103,10.54904676049386,2.073978606668449,751,16.910785619174433,17.142087591274198,28.988616832114822,False,0
Napa,7813,740,78,136411,134869,2650,216,1,40,1.9648696142182416,0.16015541006458117,818,9.551344743276283,59.96583853208319,57.27543966395672,False,0
Nevada,3797,58,69,99995,102481,0,0,0,26,0.0,0.0,127,29.89763779527559,12.700635031751588,37.97189859492975,False,0
Orange,258409,5600,1475,3169463,3165820,781875,55,2,613,24.697392776595006,0.0017373066061873383,7075,36.52424028268551,22.32239341490972,81.53084607707993,False,0
Placer,27214,460,310,428181,419156,0,0,0,91,0.0,0.0,770,35.34285714285714,17.983049224510196,63.55723397348317,False,0
Plumas,199,27,16,18820,19423,0,0,0,7,0.0,0.0,43,4.627906976744186,22.848034006376196,10.573857598299682,False,0
Riverside,107562,2287,829,2492366,2478600,369169,5704,2,518,14.894254821270072,0.23012991204712338,3116,34.519255455712454,12.502176646608083,43.156582941670685,False,0
Sacramento,74086,2422,775,1616991,1594006,266405,0,0,363,16.712923288870932,0.0,3197,23.173600250234596,19.77129124404527,45.81719997204684,False,0
San Benito,2794,29,53,67264,67290,18814,0,0,12,27.959577946203,0.0,82,34.073170731707314,12.190770694576592,41.53782112274025,False,0
